"Name","activation","batch_size","hidden_layers","lr","max_epochs","optimizer","epoch","f1_score_val_final","precision_val_final","recall_val_final","accuracy_val_final","Agent","State","Notes","User","Tags","Created","Runtime","method","metric.name","parameters.activations","parameters.batch_sizes","parameters.hidden_layerss","parameters.lrs","parameters.max_epochss","parameters.optimizers","train_accuracy","train_f1","train_loss","train_precision","train_recall","validation_accuracy","validation_f1","validation_loss","validation_precision","validation_recall"
"bgd_sigmoid_2_0.05_16_800","sigmoid","16","[16,8]","0.05","800","bgd","800","0.19101508339738987","0.1729120325356287","0.21335200295281523","0.5350877192982456","","finished","-","","","2024-10-07T14:18:30.000Z","12","","","","","","","","","0.5393873085339168","0.19514149251877935","1.1333457462004497","0.17799466166940206","0.215944124092086","0.5350877192982456","0.19101508339738987","1.1760747675422791","0.1729120325356287","0.21335200295281523"
"bgd_relu_3_0.01_32_800","relu","32","[8,8,8]","0.01","800","bgd","800","0.2018618098010755","0.18333333001082255","0.2245564844924899","0.5614035087719298","","finished","-","","","2024-10-07T14:03:39.000Z","10","","","","","","","","","0.5306345733041575","0.25046490491365647","1.051065938970285","0.2993888721023191","0.21528464335668748","0.5614035087719298","0.2018618098010755","1.0639260663527512","0.18333333001082255","0.2245564844924899"
"bgd_tanh_2_0.01_32_200","tanh","32","[16,16]","0.01","200","bgd","200","0.1975203651381628","0.1923396826375858","0.202987856941548","0.4824561403508772","","finished","-","","","2024-10-07T14:51:07.000Z","8","","","","","","","","","0.5207877461706784","0.2232241699296927","1.1360407008912206","0.2235260859377521","0.22292306841557633","0.4824561403508772","0.1975203651381628","1.2262965724451829","0.1923396826375858","0.202987856941548"
"mbgd_signum_1_0.002_16_200","signum","16","[16]","0.002","200","mbgd","200","0.23336648529259535","0.23256485250025904","0.23417366353027505","0.5526315789473685","","finished","-","","","2024-10-07T14:23:44.000Z","14","","","","","","","","","0.5295404814004376","0.23980617341918384","1.1582157111829263","0.24226302105433548","0.2373986564765883","0.5526315789473685","0.23336648529259535","1.1245641979659848","0.23256485250025904","0.23417366353027505"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,8]","0.002","800","bgd","800","0.08974358859303092","0.06140350823330256","0.16666666269841282","0.3684210526315789","","finished","-","","","2024-10-07T14:27:20.000Z","11","","","","","","","","","0.4026258205689278","0.09568382720382138","1.7119272690454743","0.06710430335473636","0.1666666662137681","0.3684210526315789","0.08974358859303092","1.7611568561565762","0.06140350823330256","0.16666666269841282"
"bgd_tanh_3_0.002_32_200","tanh","32","[8,8,8]","0.002","200","bgd","200","0.17754707267066394","0.2093514065308794","0.15413163845390396","0.24561403508771928","","finished","-","","","2024-10-07T14:56:38.000Z","10","","","","","","","","","0.3227571115973742","0.24536629350788564","2.023685375331637","0.2822247613712103","0.217023137818697","0.24561403508771928","0.17754707267066394","2.0414442548208775","0.2093514065308794","0.15413163845390396"
"mbgd_sigmoid_2_0.002_32_200","sigmoid","32","[16,16]","0.002","200","mbgd","200","0.2084734323122496","0.18988751175614996","0.23109243207675237","0.5789473684210527","","finished","-","","","2024-10-07T14:37:07.000Z","4","","","","","","","","","0.5426695842450766","0.1949820710792223","1.1292139739809726","0.1773574784863806","0.21649598505164117","0.5789473684210527","0.2084734323122496","1.1588860167670765","0.18988751175614996","0.23109243207675237"
"bgd_sigmoid_3_0.002_32_200","sigmoid","32","[8,8,8]","0.002","200","bgd","200","0.1030303017814509","0.07456140285472454","0.16666666339869288","0.4473684210526316","","finished","-","","","2024-10-07T14:07:31.000Z","9","","","","","","","","","0.4256017505470459","0.09966692272662014","1.6203562358880703","0.07108918120860104","0.16666666623821766","0.4473684210526316","0.1030303017814509","1.619558705559471","0.07456140285472454","0.16666666339869288"
"bgd_sigmoid_3_0.002_32_200","sigmoid","32","[8,8,8]","0.002","200","bgd","200","0.13093455794528383","0.08355812069380035","0.3023807781974461","0.16666666666666666","","finished","-","","","2024-10-07T14:49:02.000Z","8","","","","","","","","","0.17943107221006566","0.15088201230668016","1.884535917983974","0.09832798903242028","0.3241127266460601","0.16666666666666666","0.13093455794528383","1.923727633331658","0.08355812069380035","0.3023807781974461"
"bgd_sigmoid_2_0.01_32_800","sigmoid","32","[16,8]","0.01","800","bgd","800","0.2006645628943124","0.1934397099900033","0.20845004238133172","0.5350877192982456","","finished","-","","","2024-10-07T14:11:40.000Z","9","","","","","","","","","0.45295404814004375","0.16273606455954073","1.214314937470342","0.1487150323841775","0.17967614796150355","0.5350877192982456","0.2006645628943124","1.2371610331408818","0.1934397099900033","0.20845004238133172"
"bgd_sigmoid_2_0.002_32_200","sigmoid","32","[16,16]","0.002","200","bgd","200","0.1030303017814509","0.07456140285472454","0.16666666339869288","0.4473684210526316","","finished","-","","","2024-10-07T14:08:49.000Z","5","","","","","","","","","0.424507658643326","0.09941070955765711","1.5009140642317296","0.07090643267078973","0.1662382172247518","0.4473684210526316","0.1030303017814509","1.507641307412006","0.07456140285472454","0.16666666339869288"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[8,16]","0.002","800","bgd","800","0.16517415321264484","0.1536468417479958","0.1785714245531547","0.42105263157894735","","finished","-","","","2024-10-07T14:42:30.000Z","5","","","","","","","","","0.4223194748358862","0.15472720095879655","1.3633167697426334","0.14030951859025032","0.1724472351099352","0.42105263157894735","0.16517415321264484","1.406627894841443","0.1536468417479958","0.1785714245531547"
"bgd_sigmoid_3_0.01_32_200","sigmoid","32","[8,8,8]","0.01","200","bgd","200","0.17587613795489848","0.1764525786869832","0.17530345122787686","0.4649122807017544","","finished","-","","","2024-10-07T14:53:34.000Z","7","","","","","","","","","0.42778993435448576","0.15604156693374222","1.1851924042545097","0.14571817467696832","0.16793920637762672","0.4649122807017544","0.17587613795489848","1.2113261915331497","0.1764525786869832","0.17530345122787686"
"bgd_sigmoid_3_0.002_32_200","sigmoid","32","[8,8,8]","0.002","200","bgd","200","0.09933774702863912","0.07499999925000002","0.1470588206459055","0.3947368421052632","","finished","-","","","2024-10-07T14:05:41.000Z","4","","","","","","","","","0.3862144420131291","0.10954379937363087","2.0291066584612496","0.07456086212758506","0.2063695897770242","0.3947368421052632","0.09933774702863912","1.9637027190907237","0.07499999925000002","0.1470588206459055"
"bgd_tanh_3_0.002_32_200","tanh","32","[8,8,8]","0.002","200","bgd","200","0.11139617626024072","0.09865416776594112","0.12791783089183392","0.2982456140350877","","finished","-","","","2024-10-07T14:52:20.000Z","5","","","","","","","","","0.33916849015317285","0.12338486535387046","1.5492179838892022","0.11150348857959616","0.13810029395648035","0.2982456140350877","0.11139617626024072","1.6506156516096082","0.09865416776594112","0.12791783089183392"
"bgd_sigmoid_2_0.002_32_200","sigmoid","32","[16,16]","0.002","200","bgd","200","0.0909090897284534","0.06249999944196429","0.16666666269841282","0.3684210526315789","","finished","-","","","2024-10-07T14:01:27.000Z","3","","","","","","","","","0.40153172866520787","0.0954983084639631","1.9562796098806317","0.06699525366886244","0.16621376766427418","0.3684210526315789","0.0909090897284534","2.029067222522549","0.06249999944196429","0.16666666269841282"
"mbgd_sigmoid_2_0.002_32_200","sigmoid","32","[16,8]","0.002","200","mbgd","200","0.14679916950851463","0.13249491599170965","0.1645658229203447","0.42105263157894735","","finished","-","","","2024-10-07T14:25:13.000Z","9","","","","","","","","","0.4420131291028446","0.15978951076515976","1.160872337739414","0.14631131366289277","0.17600289622754697","0.42105263157894735","0.14679916950851463","1.2050663997489048","0.13249491599170965","0.1645658229203447"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,8]","0.002","800","bgd","800","0.15171792802401923","0.13810991024821884","0.16830064994461846","0.412280701754386","","finished","-","","","2024-10-07T14:15:19.000Z","10","","","","","","","","","0.437636761487965","0.16007171504375176","1.247763072826532","0.1467358571940071","0.1760739163037334","0.412280701754386","0.15171792802401923","1.2732037503757023","0.13810991024821884","0.16830064994461846"
"mbgd_sigmoid_3_0.002_32_800","sigmoid","32","[8,8,8]","0.002","800","mbgd","800","0.17145581219827294","0.1614583278899019","0.18277310550985107","0.47368421052631576","","finished","-","","","2024-10-07T14:09:11.000Z","8","","","","","","","","","0.4365426695842451","0.15644359918275758","1.164591309077105","0.1431444493654821","0.17246702760661714","0.47368421052631576","0.17145581219827294","1.1959103071455055","0.1614583278899019","0.18277310550985107"
"bgd_sigmoid_2_0.01_32_200","sigmoid","32","[8,16]","0.01","200","bgd","200","0.19357282985753077","0.17682926454832204","0.21381885641838447","0.543859649122807","","finished","-","","","2024-10-07T14:13:04.000Z","5","","","","","","","","","0.4682713347921225","0.1689789481259497","1.2162966334663392","0.15454729359506011","0.18638347069483985","0.543859649122807","0.19357282985753077","1.246180856356495","0.17682926454832204","0.21381885641838447"
"bgd_tanh_2_0.002_32_200","tanh","32","[16,8]","0.002","200","bgd","200","0.2503991198604753","0.2079345639958325","0.314659027343784","0.3947368421052632","","finished","-","","","2024-10-07T14:34:05.000Z","9","","","","","","","","","0.39059080962800874","0.14481547114254847","1.7165261884282463","0.13612424949396704","0.15469221486530396","0.3947368421052632","0.2503991198604753","1.7718962268709082","0.2079345639958325","0.314659027343784"
"bgd_tanh_2_0.01_32_200","tanh","32","[16,8]","0.01","200","bgd","200","0.17498631984088184","0.1603402416933204","0.1925770266528181","0.47368421052631576","","finished","-","","","2024-10-07T14:10:39.000Z","9","","","","","","","","","0.4814004376367615","0.19059578367700655","1.298604815474536","0.18243284197175116","0.199523442836986","0.47368421052631576","0.17498631984088184","1.2737864962939134","0.1603402416933204","0.1925770266528181"
"bgd_sigmoid_2_0.002_32_200","sigmoid","32","[16,8]","0.002","200","bgd","200","0.03875968932155521","0.02192982436903663","0.1666666555555563","0.13157894736842105","","finished","-","","","2024-10-07T14:54:12.000Z","5","","","","","","","","","0.12800875273522977","0.037827352011974104","3.7256015454557496","0.02133479209919607","0.16666666524216525","0.13157894736842105","0.03875968932155521","3.523017956824919","0.02192982436903663","0.1666666555555563"
"mbgd_sigmoid_2_0.002_32_200","sigmoid","32","[16,8]","0.002","200","mbgd","200","0.16806288539773012","0.15357142519557831","0.18557422583641311","0.47368421052631576","","finished","-","","","2024-10-07T14:52:43.000Z","9","","","","","","","","","0.4288840262582057","0.1510460763782359","1.1628776052068943","0.1357662760291323","0.1702013705931986","0.47368421052631576","0.16806288539773012","1.1941192983450142","0.15357142519557831","0.18557422583641311"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[8,16]","0.002","800","bgd","800","0.1610096939779445","0.14787581043749248","0.17670401139115785","0.4649122807017544","","finished","-","","","2024-10-07T14:33:27.000Z","10","","","","","","","","","0.42669584245076586","0.15222092090971573","1.2547432032608403","0.1389342582484084","0.1683175920530875","0.4649122807017544","0.1610096939779445","1.237927908440832","0.14787581043749248","0.17670401139115785"
"mbgd_tanh_3_0.01_32_200","tanh","32","[8,8,8]","0.01","200","mbgd","200","0.27144153810885846","0.2686647076682717","0.27427636884172","0.5877192982456141","","finished","-","","","2024-10-07T14:54:25.000Z","7","","","","","","","","","0.5984682713347921","0.2931388397998643","0.947343167279432","0.28914684791248607","0.2972426025295914","0.5877192982456141","0.27144153810885846","1.0359341162729536","0.2686647076682717","0.27427636884172"
"mbgd_tanh_2_0.002_32_200","tanh","32","[16,8]","0.002","200","mbgd","200","0.2765208588136486","0.34701475544705623","0.22983192736023836","0.5526315789473685","","finished","-","","","2024-10-07T14:39:56.000Z","7","","","","","","","","","0.574398249452954","0.2764430107527445","0.9851257987988604","0.3327917912327047","0.236413192069054","0.5526315789473685","0.2765208588136486","1.0391280797126632","0.34701475544705623","0.22983192736023836"
