,lr,optimizer,activation,batch_size,max_epochs,hidden_layers
225,0.002,bgd,signum,32,800,"[16, 16]"
226,0.002,bgd,signum,32,200,"[16, 16]"
227,0.002,bgd,signum,32,200,"[8, 16]"
228,0.01,mbgd,signum,32,800,"[8, 8, 8]"
229,0.002,bgd,signum,32,200,"[16, 16]"
230,0.01,bgd,signum,32,800,"[16, 16]"
231,0.01,bgd,signum,32,200,"[16, 16]"
232,0.002,bgd,signum,32,800,"[8, 8, 8]"
233,0.05,bgd,sigmoid,16,200,"[16, 8]"
234,0.002,mbgd,signum,32,200,"[8, 8, 8]"
235,0.002,bgd,signum,32,800,"[8, 8, 8]"
236,0.002,bgd,signum,32,200,"[8, 16]"
237,0.002,mbgd,signum,32,200,"[16, 8]"
238,0.002,bgd,signum,32,200,"[16, 16]"
239,0.002,mbgd,signum,32,800,"[8, 8, 8]"
240,0.002,mbgd,signum,32,200,"[8, 8, 8]"
241,0.002,bgd,signum,32,800,"[16, 16]"
242,0.002,mbgd,signum,32,200,"[8, 8, 8]"
243,0.002,mbgd,signum,32,800,"[16, 8]"
244,0.002,bgd,signum,32,200,"[16, 16]"
245,0.002,bgd,signum,32,800,"[16, 16]"
246,0.002,bgd,signum,32,200,"[8, 8, 8]"
247,0.002,bgd,signum,32,200,"[8, 8, 8]"
248,0.002,bgd,signum,32,800,[8]
249,0.002,bgd,signum,32,800,"[8, 16]"
250,0.002,bgd,signum,32,200,"[16, 16]"
251,0.01,bgd,signum,32,200,"[8, 16]"
252,0.002,bgd,signum,32,200,"[16, 8]"
253,0.01,bgd,relu,32,200,"[8, 8, 8]"
254,0.002,bgd,signum,32,200,[16]
255,0.002,bgd,signum,32,800,"[8, 8, 8]"
256,0.002,bgd,signum,32,800,"[8, 8, 8]"
257,0.002,bgd,signum,32,800,"[16, 16]"
258,0.002,bgd,signum,32,200,"[16, 16]"
259,0.01,bgd,signum,32,200,"[16, 16]"
260,0.002,bgd,signum,32,200,"[16, 8]"
261,0.002,bgd,signum,32,200,"[16, 8]"
262,0.002,bgd,signum,32,800,"[16, 8]"
263,0.002,mbgd,signum,32,200,"[16, 8]"
264,0.002,bgd,signum,32,800,"[8, 8, 8]"
265,0.002,bgd,signum,32,800,"[8, 16]"
266,0.01,bgd,signum,32,200,"[16, 16]"
267,0.002,bgd,signum,32,200,"[16, 8]"
268,0.002,bgd,signum,32,800,[16]
269,0.002,mbgd,signum,32,800,"[8, 16]"
270,0.002,bgd,signum,32,200,"[16, 8]"
271,0.002,mbgd,signum,32,200,"[8, 8]"
272,0.01,bgd,signum,32,200,"[16, 8]"
273,0.002,mbgd,signum,32,800,"[8, 8]"
274,0.002,mbgd,signum,32,200,"[8, 8, 8]"
275,0.05,mbgd,relu,16,800,[16]
276,0.05,bgd,sigmoid,32,800,"[16, 16]"
277,0.05,bgd,signum,32,200,[8]
278,0.002,bgd,sigmoid,32,200,"[16, 16]"
279,0.05,bgd,tanh,16,200,"[8, 8]"
280,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
281,0.01,mbgd,tanh,32,800,"[8, 8, 8]"
282,0.01,mbgd,sigmoid,32,200,"[16, 16]"
283,0.002,bgd,tanh,32,800,"[8, 8, 8]"
284,0.01,mbgd,tanh,32,200,"[8, 8, 8]"
285,0.002,mbgd,tanh,32,200,"[8, 8, 8]"
286,0.01,mbgd,tanh,32,200,"[8, 8, 8]"
287,0.01,bgd,tanh,32,800,"[8, 8, 8]"
288,0.01,mbgd,sigmoid,32,800,"[16, 16]"
289,0.002,bgd,tanh,32,200,"[8, 8, 8]"
290,0.01,bgd,relu,32,800,"[8, 8, 8]"
291,0.002,bgd,relu,32,200,"[8, 8, 8]"
292,0.002,mbgd,tanh,32,800,"[8, 8, 8]"
293,0.002,bgd,tanh,32,800,"[16, 16]"
294,0.002,bgd,relu,32,200,"[8, 8, 8]"
295,0.002,bgd,sigmoid,32,800,"[8, 8, 8]"
296,0.002,bgd,tanh,32,800,"[8, 8, 8]"
297,0.002,bgd,tanh,32,200,"[8, 8, 8]"
