popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
40,201734,0.693,0.817,8,-4.541,0.185,0.108,0.0,0.118,0.615,174.008,turkish
55,317986,0.311,0.882,2,-3.26,0.215,0.00895,0.205,0.253,0.435,162.189,garage
32,232378,0.835,0.598,1,-8.519,0.331,0.62,0.821,0.0979,0.211,107.998,psych-rock
18,186493,0.473,0.574,4,-4.026,0.0263,0.17,0.0,0.127,0.329,137.898,trip-hop
52,259133,0.245,0.96,7,-4.719,0.175,0.000184,0.00268,0.0718,0.372,184.042,grunge
19,215813,0.275,0.343,5,-11.252,0.0376,0.969,0.0064,0.138,0.261,124.738,opera
0,218798,0.248,0.572,10,-6.827,0.0429,0.278,0.0,0.139,0.228,205.458,songwriter
0,227026,0.527,0.993,9,-2.68,0.273,0.109,0.0,0.961,0.546,133.135,party
50,246382,0.483,0.863,1,-3.941,0.0588,0.000309,0.0495,0.331,0.302,94.006,chill
46,268195,0.87,0.693,6,-7.428,0.327,0.596,0.0,0.231,0.5,120.041,brazil
57,258465,0.479,0.965,7,-3.987,0.115,0.00329,1.37e-06,0.107,0.0959,148.0,industrial
41,205400,0.519,0.38,11,-11.009,0.0342,0.716,0.0,0.283,0.617,121.587,r-n-b
40,219376,0.788,0.743,6,-5.067,0.4,0.0911,0.0,0.117,0.741,174.047,emo
25,305280,0.467,0.521,7,-5.787,0.0314,0.135,2.29e-05,0.729,0.0399,95.091,grunge
0,147800,0.524,0.614,0,-8.05,0.0363,0.202,0.0,0.0802,0.751,82.229,indie
15,190148,0.67,0.495,5,-9.006,0.0306,0.00173,0.0,0.088,0.526,104.706,kids
38,281240,0.712,0.877,0,-5.997,0.0533,0.00102,0.856,0.0824,0.232,130.004,techno
13,144466,0.903,0.746,11,-7.085,0.156,0.0702,0.0,0.312,0.677,120.045,kids
80,187585,0.702,0.741,9,-5.33,0.0427,0.00544,0.0,0.337,0.646,124.925,pop
30,121500,0.786,0.303,3,-12.043,0.0718,0.957,0.888,0.108,0.185,95.013,guitar
44,229240,0.687,0.327,10,-7.459,0.039,0.516,0.0,0.0908,0.793,80.019,r-n-b
0,399464,0.793,0.829,1,-7.118,0.0685,8.67e-05,0.253,0.147,0.273,126.978,progressive-house
57,178371,0.737,0.577,0,-8.693,0.0401,0.703,0.0542,0.114,0.29,140.004,soul
45,204293,0.213,0.271,6,-16.985,0.0386,0.981,0.882,0.109,0.0914,155.831,new-age
53,96613,0.587,0.846,7,-7.749,0.0614,0.00676,0.588,0.0998,0.225,105.016,anime
58,248866,0.562,0.85,11,-5.092,0.0609,0.0487,0.0,0.0912,0.581,149.946,spanish
57,248800,0.344,0.196,9,-7.518,0.032,0.881,0.0,0.104,0.45,72.609,piano
16,219636,0.396,0.632,3,-3.213,0.0369,0.0798,0.0,0.071,0.227,164.784,happy
30,193388,0.681,0.646,9,-5.526,0.0334,0.176,0.0,0.131,0.772,80.99,groove
26,213933,0.44,0.853,5,-4.952,0.0391,0.00689,0.0,0.121,0.835,185.872,metalcore
11,314066,0.639,0.365,1,-19.742,0.0711,0.469,0.144,0.141,0.0368,120.17,detroit-techno
41,234373,0.653,0.814,2,-6.327,0.0414,0.000653,0.25,0.0391,0.955,125.013,breakbeat
29,144039,0.911,0.676,1,-7.684,0.251,0.128,0.00181,0.21,0.82,100.062,j-dance
0,270280,0.629,0.538,2,-6.79,0.0244,0.461,0.0,0.123,0.205,100.038,alt-rock
31,489672,0.269,0.894,2,-3.657,0.132,0.175,0.0,0.925,0.292,82.153,groove
39,232000,0.284,0.31,9,-10.811,0.0322,0.513,0.0,0.13,0.301,84.918,punk
52,71111,0.775,0.345,1,-9.911,0.372,0.591,0.409,0.105,0.872,81.046,chill
56,166909,0.719,0.707,0,-5.045,0.0443,0.0172,0.0,0.312,0.602,100.019,swedish
2,187436,0.72,0.706,1,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,dance
60,271417,0.229,0.949,2,-3.315,0.0537,1.67e-05,0.187,0.153,0.4,99.325,groove
0,166793,0.789,0.72,8,-5.652,0.217,0.223,0.0,0.129,0.664,122.031,edm
21,55955,0.305,0.998,5,-4.325,0.107,8e-05,0.603,0.383,0.0286,98.95,grindcore
50,36666,0.606,0.304,0,-11.546,0.22,0.739,0.265,0.117,0.744,95.293,children
0,183600,0.677,0.432,0,-8.805,0.033,0.285,0.0,0.12,0.553,116.012,ska
48,293802,0.356,0.428,2,-9.459,0.0321,0.703,0.0,0.211,0.104,143.658,world-music
50,96703,0.856,0.718,10,-7.811,0.0533,0.126,0.0,0.0708,0.897,119.402,children
76,212960,0.414,0.857,0,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024,electro
66,212853,0.768,0.826,5,-4.904,0.0335,0.00199,0.000374,0.031,0.926,114.997,emo
49,324776,0.549,0.687,1,-4.53,0.135,0.0722,0.0,0.62,0.0754,97.78,industrial
0,161880,0.689,0.856,5,-3.394,0.0813,0.0493,0.0,0.232,0.706,126.108,reggaeton
41,156230,0.752,0.717,6,-7.072,0.0355,0.702,1.24e-06,0.395,0.867,129.953,pagode
45,241613,0.651,0.668,8,-8.194,0.0364,0.75,1.08e-05,0.931,0.445,134.053,pagode
45,260586,0.6,0.782,9,-7.012,0.0336,0.779,0.0,0.117,0.84,143.906,pagode
28,70960,0.234,0.948,1,-4.544,0.0542,3.19e-06,0.011,0.24,0.0771,66.787,grindcore
51,159928,0.85,0.556,6,-7.284,0.0385,0.159,2.64e-06,0.0536,0.202,114.998,emo
83,257266,0.664,0.705,1,-4.972,0.0382,0.0654,0.0,0.118,0.477,122.016,piano
21,174400,0.315,0.303,9,-11.075,0.0375,0.584,4.59e-06,0.783,0.266,175.433,cantopop
21,163040,0.598,0.904,7,-2.921,0.886,0.808,0.0,0.956,0.771,86.086,comedy
35,329333,0.717,0.825,8,-5.07,0.254,0.399,0.0,0.865,0.66,89.984,anime
62,181520,0.466,0.944,6,-4.103,0.177,0.000119,0.0,0.379,0.384,134.993,metalcore
90,298933,0.629,0.547,10,-13.123,0.055,0.72,0.00314,0.0604,0.197,108.375,singer-songwriter
75,248040,0.849,0.707,0,-6.002,0.113,0.0266,8.58e-06,0.618,0.602,104.027,dancehall
43,228250,0.702,0.69,10,-5.98,0.0373,0.447,0.0,0.131,0.764,93.619,sertanejo
55,301933,0.629,0.585,9,-7.969,0.0572,0.43,0.0,0.357,0.296,81.973,j-pop
0,188106,0.749,0.68,1,-6.188,0.276,0.377,0.0,0.12,0.59,155.048,french
18,183600,0.864,0.649,5,-4.0,0.31,0.106,0.0,0.0538,0.747,119.896,drum-and-bass
49,186195,0.674,0.726,11,-1.539,0.041,0.0801,0.000255,0.111,0.273,150.299,dubstep
48,184093,0.474,0.983,10,-5.498,0.0598,0.0182,0.000128,0.691,0.725,92.68,r-n-b
52,384850,0.538,0.907,10,-6.877,0.0515,0.0567,9.07e-06,0.178,0.345,134.014,brazil
25,301746,0.677,0.926,6,-8.585,0.0945,0.0116,4.61e-05,0.846,0.385,100.027,industrial
35,61000,0.459,0.0288,2,-16.897,0.0422,0.988,0.0,0.0854,0.578,140.073,swedish
11,432346,0.638,0.953,7,-9.135,0.0543,0.00981,0.932,0.107,0.469,132.005,breakbeat
47,339013,0.512,0.877,6,-3.955,0.0541,0.514,0.0,0.274,0.541,133.562,brazil
49,433440,0.261,0.92,1,-4.151,0.064,0.000382,2.78e-05,0.157,0.183,84.013,death-metal
52,241556,0.427,0.881,4,-2.691,0.359,0.0182,0.0,0.0423,0.291,154.998,hardstyle
16,320200,0.427,0.851,8,-3.835,0.039,0.0202,0.877,0.122,0.0974,174.03,drum-and-bass
